T,,#6464ff
P,False,36683,36688,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968DC8>
P,False,164288,164433,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164434,164465,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164466,164543,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164544,164575,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164576,164665,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164665,164682,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164683,164768,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164769,164866,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164867,164890,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164890,164976,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,164977,165007,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165008,165022,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165023,165109,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165110,165135,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165135,165226,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165227,165238,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165239,165345,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165346,165377,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165377,165466,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165467,165501,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165502,165588,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165589,165604,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165605,165684,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165685,165787,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165788,165808,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165809,165889,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165890,165928,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,165929,166021,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166022,166069,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166070,166139,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166138,166534,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166534,166598,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166599,166780,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,166781,167164,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,167165,167277,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,167278,167396,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
P,False,167397,168070,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A8968C48>
T,,#6464ff
P,False,36681,36711,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,36712,36806,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,36806,36864,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,36866,36894,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,36895,37111,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37112,37188,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37189,37324,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37326,37412,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37413,37431,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37432,37486,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37486,37596,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,37750,38011,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,38013,38065,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,38066,38156,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,38591,38707,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,38707,38782,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,38784,39532,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,39533,39660,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,39661,39742,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,39742,39799,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,39800,40060,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,40060,40190,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,40191,42177,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,42178,42268,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,42270,42647,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,42648,42804,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,42806,43311,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,43312,43362,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,43362,43794,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,43796,43917,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,43917,44094,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,44096,44344,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,44345,44420,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,44421,44781,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,44782,44849,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,44850,45077,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45078,45410,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45412,45550,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45552,45645,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45646,45744,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45745,45938,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,45939,46008,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46010,46069,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46070,46155,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46156,46198,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46199,46267,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46269,46381,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46383,46757,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46758,46816,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46817,46850,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46852,46946,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,46947,47404,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47406,47595,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47596,47639,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47640,47744,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47745,47772,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47773,47919,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47920,47972,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,47974,48017,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,48018,48228,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,48983,49097,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,49098,49837,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,50593,50983,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,50985,51030,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,51032,51179,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,51180,51237,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,51238,51716,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,51718,51925,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,52109,52219,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,52219,52279,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,52281,52440,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,52960,53600,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,53601,53631,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,53632,53959,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,53961,56157,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,56158,56635,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,56636,60161,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,60162,60222,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,60223,60303,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,60303,60362,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,60363,60841,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,60841,62376,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,62376,63992,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,63992,64271,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,64273,64809,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,64810,64853,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,64855,65988,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,65989,66085,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,66085,66226,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,66228,66257,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,66258,66300,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,66300,66621,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,66623,66707,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,67838,67875,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,67877,68256,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,69528,70131,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,70133,70154,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,70156,70166,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,70168,70642,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,70643,71602,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,71603,71778,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,71780,71903,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,71902,72192,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72193,72274,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72275,72426,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72427,72556,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72557,72589,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72591,72675,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72676,72704,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72705,72850,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72851,72976,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72977,72992,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,72993,73021,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73022,73160,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73161,73188,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73188,73620,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73620,73662,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73663,73694,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73695,73716,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73717,73740,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73741,73786,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73787,73831,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73831,73903,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73904,73925,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,73926,74028,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74028,74085,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74086,74183,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74184,74310,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74310,74350,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74351,74430,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74430,74527,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74527,74587,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74588,74620,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74620,74710,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74711,74740,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74741,74794,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74795,74822,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74823,74851,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74851,74914,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74915,74927,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74928,74952,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,74953,75014,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75015,75161,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75161,75204,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75203,75318,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75318,75352,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75353,75990,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,75991,76223,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76223,76308,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76308,76341,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76342,76499,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76501,76556,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76557,76605,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76606,76644,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76645,76713,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76714,76733,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76733,76760,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,76761,77030,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77031,77108,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77109,77166,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77166,77209,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77209,77749,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77750,77792,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77792,77857,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77858,77886,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77887,77971,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,77972,78219,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,78219,78975,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,78976,79015,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,79016,79878,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,79878,79918,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,79919,80034,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80035,80100,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80101,80131,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80132,80160,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80161,80186,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80603,80638,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,80639,81287,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,81288,81631,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,81631,81662,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,81663,81697,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,81699,81733,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,81734,82174,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,82173,82193,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,82194,82253,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,82253,82277,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,82278,84343,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,84343,84379,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,84379,85696,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
P,False,85698,92516,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x00000201A84D4EC8>
