T,,#6464ff
P,False,41419,41420,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C2E6EDD8>
P,False,157226,157333,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157334,157485,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157487,157548,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157550,157733,turning ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157734,157814,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157815,157922,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,157923,159069,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
P,False,159070,159185,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FC18>
T,,#6464ff
P,False,45642,45679,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,45679,45752,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,45752,45858,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,45859,45896,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,45897,46056,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,46056,46388,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,46388,46529,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,46804,46863,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,46862,47342,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,47343,47571,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,47771,47837,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,47836,47931,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,47931,48094,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48094,48140,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48140,48174,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48172,48223,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48223,48300,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48301,48476,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48477,48522,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48522,48621,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48716,48782,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48783,48939,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,48938,49007,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49007,49243,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49244,49562,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49705,49758,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49758,49805,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49806,49922,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49923,49965,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,49966,50065,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50065,50248,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50248,50348,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50349,50438,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50439,50522,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50668,50709,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50710,50761,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50761,50793,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50794,50927,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50926,50998,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,50998,51046,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,51046,51479,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,51657,51901,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,51902,52240,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52240,52376,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52376,52461,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52613,52644,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52645,52743,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52744,52833,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,52833,52916,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,53677,53738,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,53738,53880,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,53880,54013,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54013,54067,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54068,54099,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54099,54367,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54367,54405,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54406,54602,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54602,54622,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54623,54657,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54658,54741,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,54741,54762,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,126270,126301,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,126301,126400,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,126926,127020,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,127021,127069,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,127070,127124,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,127124,127212,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,127213,127282,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,128953,129009,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,129010,129037,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,129038,129076,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,132839,133046,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,133179,133236,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,133235,133310,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,133310,133365,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,134608,134698,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,134698,134732,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,134731,134752,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,134752,134845,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,135009,135159,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,135160,135205,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,137895,137930,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,137930,137987,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,137987,138109,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,138295,138359,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,138359,138533,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,142771,142908,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,142908,143030,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,143031,143100,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,143100,143135,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,143263,143394,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,143394,143572,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,143573,143666,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,145296,145466,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,145467,145683,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,145849,145935,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,145935,146082,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,146082,146325,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,147938,147977,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,147977,148042,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148042,148077,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148077,148119,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148119,148396,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148522,148660,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148660,148776,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148776,148874,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148875,148907,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,148908,148977,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,150589,150662,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,150663,150720,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,150721,150743,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,150743,150849,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,150848,151005,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,151137,151223,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,151223,151458,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,151457,151564,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,151565,151665,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,152103,152133,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,152133,152233,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,152233,152284,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,152284,152348,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,157815,157850,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
P,False,157851,157922,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7FE10>
T,,#6464ff
P,False,43311,43514,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000002D8C9A7F898>
