T,,#6464ff
P,False,20800,20801,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C757DDB548>
P,False,121460,122106,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122107,122165,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122166,122319,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122320,122407,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122408,122551,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122552,122599,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122600,122681,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,122682,123423,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123424,123479,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123480,123630,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123631,123716,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123717,123853,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123854,123906,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123907,123985,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,123986,129172,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129173,129222,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129223,129386,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129387,129462,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129463,129658,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129659,129711,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129712,129782,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,129783,130360,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,130361,130411,standing up,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,130412,130796,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,130796,130853,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,130854,132001,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,132001,133104,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,133105,133607,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,133608,133981,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,133982,134073,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,134073,134408,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,134409,134517,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,134518,135704,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,135705,136111,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,136112,136213,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,136214,136570,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,136571,136664,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,136665,137405,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,137405,137451,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,137451,137767,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,137768,138207,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,138208,138318,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,138318,138757,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,138758,138867,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,138868,139352,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,139353,139391,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,139392,139916,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,139917,140356,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,140357,140454,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,140455,140942,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,140943,141054,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,141055,141393,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,141394,141551,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,141552,141721,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,141723,142032,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142033,142232,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142233,142332,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142333,142642,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142642,142743,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142744,142825,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142825,142852,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142853,142938,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,142939,143689,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143690,143773,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143774,143809,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143810,143876,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143877,143897,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143898,143995,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,143996,144024,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144025,144129,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144130,144147,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144148,144244,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144245,144283,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144282,144375,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144375,144407,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144407,144497,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144498,144529,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144529,144626,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144627,144647,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144647,144748,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144748,144771,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144771,144864,steping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144865,144887,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144888,144987,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,144987,145009,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145010,145101,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145102,145121,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145122,145225,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145225,145257,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145257,145347,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145347,145369,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145369,145465,stepping over a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145466,145492,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145493,145589,stepping off a step,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145589,145674,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145674,145763,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145763,145809,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145809,145844,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145845,145899,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,145899,146396,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,146396,146445,stepping ,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
P,False,146445,146583,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0D048>
T,,#6464ff
P,False,22081,22174,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,22175,22219,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,22220,22268,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,26112,26138,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,26139,26372,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,31051,31893,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,31894,31965,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,31966,33448,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,33448,33491,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,33492,33590,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,33591,33679,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,33679,35283,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,35284,35336,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,35337,35376,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,35376,35547,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,35547,36220,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,36221,36310,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,36311,37094,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,37094,37181,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,37182,37958,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,37959,38059,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,38060,38306,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,38537,38674,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,61184,61314,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,61315,61355,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
P,False,74966,75080,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF24F88>
T,,#6464ff
T,,#6464ff
P,False,29129,29411,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,46303,48781,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,52837,53465,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,54397,55009,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,55606,56352,writing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,58963,59649,drinking water,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,64347,64397,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,68467,68503,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,68918,69195,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,70270,70297,arms corssed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,70374,71105,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,71212,73793,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,77071,81844,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,81923,83385,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,84449,87727,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,89316,92553,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,93674,99572,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,101297,104380,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,104716,105602,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,105923,110854,arms crossed on chest,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
P,False,120550,120821,clapping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001C75CF0FF88>
