T,,#6464ff
P,False,28339,28340,start,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900B208>
P,False,153072,153161,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153162,153226,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153227,153340,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153341,153398,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153399,153519,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153520,153595,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153596,153701,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153702,153779,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153780,153974,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,153975,154070,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154071,154168,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154169,154233,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154233,154353,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154354,154431,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154431,154537,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154538,154627,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154627,154734,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154735,154807,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154808,154967,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,154968,155110,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155111,155205,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155206,155288,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155289,155400,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155401,155436,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155437,155633,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155634,155748,"stepping over a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155749,155792,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155793,155881,"stepping off a step
",#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,155881,156226,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,156227,156353,turning around,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,156354,156450,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,156451,156783,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,156783,156984,standing,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,156985,157100,walking,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,157101,157167,stepping,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,157168,157242,sitting down,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
P,False,157243,157657,sitting,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22900D0C8>
T,,#6464ff
P,False,51998,52134,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,90379,90415,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,90417,90473,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,90474,90507,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,90508,90545,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,90546,90571,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,95065,95116,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,95117,95173,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,95848,95912,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,95913,95938,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,95938,96006,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,96007,96096,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,113482,113547,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,113547,113574,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,113575,113904,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,113905,114414,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,114414,114444,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,114445,114484,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,114603,114764,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,114765,114809,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,114810,115023,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,115024,115458,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,115591,115860,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,115861,115990,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,115991,116257,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116258,116296,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116297,116321,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116322,116370,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116371,116469,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116470,116516,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116517,116539,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116676,116728,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116729,116871,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116872,116909,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116909,116932,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,116933,117202,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117202,117221,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117222,117256,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117257,117309,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117310,117556,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117732,117766,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117767,117831,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117832,117852,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117853,117884,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117885,117983,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,117984,118187,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118187,118215,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118216,118272,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118273,118358,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118358,118472,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118473,118496,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118497,118552,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118553,118600,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118759,118792,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118793,118836,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118836,118918,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118919,118964,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,118965,119177,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119178,119202,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119201,119410,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119411,119427,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119428,119449,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119450,119573,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119710,119953,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,119953,120043,4,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120044,120106,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120107,120141,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120142,120193,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120194,120242,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120242,120275,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120275,120295,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120296,120331,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120332,120351,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120351,120481,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,120482,120582,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121222,121282,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121283,121303,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121482,121548,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121549,121792,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121793,121873,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121874,121917,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121917,121939,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,121940,122126,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,122295,122409,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,123142,123167,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,123168,123220,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,123220,123444,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,127195,127230,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,127231,127255,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,127254,127417,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,127566,127585,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,127586,127682,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,128147,128269,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,128536,128674,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,128782,128976,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,133080,133120,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,133121,133148,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,133149,133208,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,133209,133236,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,133340,133508,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,136368,136514,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,136515,136621,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,136843,136859,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,136860,136940,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,136939,137027,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,137028,137067,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,137067,137114,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141050,141271,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141272,141374,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141375,141400,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141527,141747,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141748,141770,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141770,141816,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141816,141851,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,141853,141928,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143381,143423,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143424,143475,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143476,143507,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143509,143724,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143725,143839,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143840,143864,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,143990,144155,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,144156,144189,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,144190,144450,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146053,146110,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146110,146166,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146167,146261,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146261,146361,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146362,146455,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146456,146483,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146483,146539,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146736,146794,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146795,146906,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146907,146944,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,146945,147032,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,147033,147098,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,147099,147130,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,147130,147189,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,147190,147336,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,148822,148991,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,148992,149056,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149057,149110,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149110,149141,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149141,149216,2,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149216,149336,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149470,149551,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149553,149675,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149676,149795,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149796,149859,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149859,149915,3,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,149916,150094,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,150731,150803,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,150804,150940,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,150940,151053,1,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,151054,151152,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,156452,156550,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,156551,156783,0,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
P,False,156986,157098,-9,#6464ff,<pyforms_gui.controls.control_event_timeline.events.track.Track object at 0x000001A22F9A3688>
T,,#6464ff
